Rank,symbol,industry,theme_strength,sales_yoy%,consec_accel,rs_pctl,pct_from_high%,above_200dma,turnover_cr,earliness,growth_rank,Score,SWEET
1,POLYMED,Healthcare,86,21.3,3,15,35.9,False,19.3,85,38.23529411764706,76.3,
2,GRMOVER,Unmapped,50,105.2,3,3,42.5,False,35.1,97,94.11764705882352,75.7,
3,HEROMOTOCO,Automobile and Auto Components,71,30.2,3,18,23.5,False,280.4,82,60.78431372549019,73.6,
4,RSYSTEMS,Unmapped,50,30.1,3,3,47.9,False,7.8,97,57.84313725490197,70.3,
5,ASKAUTOLTD,Automobile and Auto Components,71,34.9,3,37,25.1,False,6.1,63,68.62745098039215,69.0,
6,POONAWALLA,Financial Services,48,81.4,3,24,29.3,False,60.0,76,90.19607843137256,68.1,
7,MUTHOOTFIN,Financial Services,48,65.2,3,21,26.9,False,211.2,79,82.35294117647058,67.9,
8,JUBLPHARMA,Healthcare,86,18.7,3,41,21.4,False,10.1,59,25.49019607843137,66.6,
9,JIOFIN,Financial Services,48,106.7,2,17,29.9,False,382.4,83,96.07843137254902,66.1,
10,M&M,Automobile and Auto Components,71,29.1,2,24,21.4,False,853.5,76,52.94117647058824,65.6,
11,RGL,Unmapped,50,50.4,3,30,31.4,False,5.9,70,76.47058823529412,65.0,
12,HITECH,Unmapped,50,101.6,3,38,29.6,False,6.6,62,92.15686274509804,64.9,
13,UPL,Chemicals,76,17.7,3,32,22.0,False,116.4,68,17.647058823529413,64.6,
14,ENDURANCE,Automobile and Auto Components,71,37.9,3,53,17.2,False,23.5,47,70.58823529411765,64.5,
15,BORORENEW,Capital Goods,90,17.6,3,50,24.9,False,31.4,50,14.705882352941178,63.7,
16,LGBBROSLTD,Unmapped,50,21.8,3,18,26.3,False,5.1,82,43.13725490196079,63.6,
17,SUBROS,Capital Goods,90,15.6,2,29,38.9,False,3.4,71,4.901960784313726,63.5,
18,SHAREINDIA,Financial Services,48,74.1,2,22,35.6,False,6.7,78,86.27450980392157,63.1,
19,SHARDAMOTR,Unmapped,50,29.6,3,26,34.6,False,4.5,74,54.90196078431373,62.9,
20,MAZDOCK,Capital Goods,90,21.3,2,48,29.2,False,374.3,52,38.23529411764706,62.8,
21,BCG,Unmapped,50,61.8,3,42,48.2,False,2.9,58,80.3921568627451,62.0,
22,JAMNAAUTO,Automobile and Auto Components,71,31.7,3,59,19.5,True,21.7,41,62.745098039215684,61.6,
23,IIFL,Financial Services,48,42.5,3,39,23.6,True,89.0,61,72.54901960784314,61.0,
24,GREAVESCOT,Capital Goods,90,21.6,2,57,18.3,True,18.2,43,41.17647058823529,60.6,
25,KALYANKJIL,Consumer Durables,29,66.2,2,9,42.1,False,177.3,91,84.31372549019608,60.1,
26,PNGJL,Consumer Durables,29,123.2,3,37,25.3,False,15.1,63,98.0392156862745,58.8,
27,CRISIL,Financial Services,48,30.1,3,40,36.2,False,19.2,60,57.84313725490197,58.5,
28,SIRCA,Unmapped,50,32.7,2,31,21.7,False,12.1,69,64.70588235294117,57.9,
29,IGARASHI,Unmapped,50,19.3,3,32,40.0,False,2.5,68,31.372549019607842,57.6,
30,TAJGVK,Unmapped,50,27.2,2,29,31.9,False,3.4,71,50.98039215686274,56.4,
31,ONEPOINT,Unmapped,50,43.3,3,60,19.9,True,8.5,40,74.50980392156863,55.7,
32,METROBRAND,Unmapped,50,20.2,3,42,24.3,False,2.7,58,35.294117647058826,55.2,
33,DCAL,Unmapped,50,18.9,2,22,40.2,False,4.9,78,28.431372549019606,55.2,
34,POCL,Unmapped,50,78.4,2,56,20.1,False,27.3,44,88.23529411764706,53.9,
35,CDSL,Financial Services,48,17.4,2,16,32.8,False,256.5,84,11.76470588235294,53.8,
36,ETERNAL,Consumer Services,14,34.7,3,26,30.7,False,852.3,74,66.66666666666666,52.1,
37,SALZERELEC,Unmapped,50,26.1,2,43,31.9,False,3.9,57,49.01960784313725,52.0,
38,SHRIRAMPPS,Unmapped,50,57.1,2,59,16.4,True,6.4,41,78.43137254901961,51.6,
39,DHANUKA,Unmapped,50,20.1,2,40,43.1,False,5.0,60,33.33333333333333,50.5,
40,PRESTIGE,Realty,10,166.6,2,27,25.0,False,94.5,73,100.0,50.4,
41,DODLA,Unmapped,50,18.0,2,36,26.1,False,3.2,64,19.607843137254903,49.6,
42,NELCO,Unmapped,50,17.3,2,32,37.8,False,7.0,68,9.803921568627452,49.4,
43,LTF,Financial Services,48,18.6,2,37,17.1,False,134.9,63,23.52941176470588,49.2,
44,BALMLAWRIE,Unmapped,50,22.4,2,54,26.6,False,3.6,46,45.09803921568628,48.1,
45,CENTURYPLY,Consumer Durables,29,24.5,3,47,11.2,False,2.7,53,47.05882352941176,48.1,
46,HATSUN,Unmapped,50,17.6,2,42,20.2,False,2.2,58,14.705882352941178,47.1,
47,JKPAPER,Forest Materials,50,17.2,3,57,16.6,False,8.9,43,7.8431372549019605,46.6,
48,LTM,Information Technology,5,15.6,3,4,37.6,False,165.6,96,4.901960784313726,46.3,
49,FDC,Unmapped,50,18.9,2,54,22.8,False,3.5,46,28.431372549019606,45.6,
50,AADHARHFC,Financial Services,48,18.2,2,56,13.3,False,15.2,44,21.568627450980394,43.2,
51,TANLA,Information Technology,5,15.0,3,51,31.2,False,23.8,49,1.9607843137254901,31.7,
